,valence,energy,acousticness
12090,0.0978,0.6829999999999999,0.7809999999999999
17047,0.581,0.344,0.774
16705,0.08879999999999999,0.432,0.415
16980,0.77,0.639,0.179
491,0.193,0.7959999999999999,0.236
8551,0.643,0.86,0.359
6679,0.6779999999999999,0.495,0.0087
15015,0.58,0.20499999999999996,0.569
917,0.374,0.505,0.287
16659,0.5920000000000001,0.427,0.627
6940,0.437,0.391,0.469
8554,0.05630000000000002,0.433,0.0747
13422,0.128,0.122,0.945
20523,0.5589999999999999,0.451,0.296
14631,0.706,0.3939999999999999,0.504
16734,0.357,0.256,0.491
15370,0.961,0.647,0.16
8933,0.298,0.7070000000000001,0.0327
19745,0.16399999999999992,0.258,0.883
8814,0.432,0.409,0.118
20100,0.755,0.424,0.0913
19256,0.6679999999999999,0.954,0.529
2100,0.376,0.346,0.0151
9159,0.5720000000000001,0.675,0.00724
15045,0.52,0.434,0.102
16944,0.20899999999999996,0.348,0.593
1539,0.7240000000000001,0.481,0.286
8918,0.11399999999999999,0.4529999999999999,0.0039
3895,0.354,0.6729999999999999,0.628
15660,0.14200000000000002,0.631,0.377
20233,0.745,0.652,0.444
17886,0.25,0.612,0.487
18204,0.71,0.943,0.0188
21306,0.1969999999999999,0.737,0.0338
8010,0.691,0.436,0.172
14668,0.5589999999999999,0.433,0.0666
18002,0.312,0.26,0.6459999999999999
6026,0.7020000000000001,0.763,0.221
5406,0.8220000000000001,0.779,0.0558
20021,0.735,0.353,0.109
6688,0.129,0.573,0.00214
16398,0.536,0.4579999999999999,0.226
6450,0.409,0.3329999999999999,0.867
17324,0.16800000000000004,0.6779999999999999,0.359
2368,0.764,0.627,0.0825
11675,0.121,0.7909999999999999,0.0427
1963,0.4589999999999999,0.56,0.546
1235,0.21199999999999997,0.607,0.064
14351,0.557,0.37,0.487
13282,0.743,0.355,0.828
18806,0.484,0.887,0.146
13512,0.4679999999999999,0.7659999999999999,0.0139999999999999
16690,0.526,0.24,0.772
6546,0.369,0.573,0.147
16847,0.20799999999999996,0.16899999999999993,0.847
5677,0.512,0.477,0.1369999999999999
20137,0.494,0.23299999999999998,0.951
21209,0.863,0.386,0.0554
8114,0.3939999999999999,0.6729999999999999,0.0419
16538,0.7490000000000001,0.519,0.017
2662,0.03920000000000001,0.61,0.239
6284,0.6829999999999999,0.62,0.0231
1459,0.574,0.332,0.0983
10159,0.684,0.434,0.0974
9124,0.427,0.727,0.09
13661,0.471,0.979,0.000643
16737,0.539,0.402,0.346
2959,0.06530000000000002,0.594,5e-05
15025,0.591,0.375,0.5329999999999999
19963,0.877,0.48,0.585
16708,0.523,0.426,0.0116
5211,0.539,0.401,0.0185
14762,0.46,0.4629999999999999,0.0957
19623,0.198,0.08129999999999998,0.504
5743,0.6709999999999999,0.535,0.0783
14015,0.5660000000000001,0.449,0.504
1932,0.359,0.342,0.728
20227,0.598,0.3929999999999999,0.5579999999999999
6434,0.481,0.645,0.084
20516,0.7509999999999999,0.434,0.081
14767,0.49,0.363,0.0102
5282,0.488,0.4479999999999999,0.81
18408,0.716,0.34,0.218
13487,0.325,0.21999999999999997,0.983
17973,0.5479999999999999,0.914,0.174
19750,0.3339999999999999,0.14300000000000002,0.976
19259,0.7090000000000001,0.713,0.0248
20088,0.531,0.484,0.186
13815,0.552,0.87,0.0014
7117,0.353,0.431,0.000146
18871,0.6890000000000001,0.737,0.0166
14320,0.457,0.763,0.111
21103,0.7709999999999999,0.434,0.1889999999999999
4899,0.3,0.315,0.447
20620,0.758,0.743,0.0636
20387,0.698,0.4629999999999999,0.8909999999999999
10989,0.21599999999999997,0.8859999999999999,0.0597
20274,0.74,0.07589999999999997,0.902
6975,0.493,0.422,0.0319
1736,0.7509999999999999,0.628,0.4679999999999999
12015,0.478,0.8740000000000001,0.0039
1104,0.531,0.397,0.379
20056,0.06359999999999999,0.332,0.223
16895,0.626,0.497,0.0138
5182,0.5379999999999999,0.2739999999999999,0.302
7281,0.5489999999999999,0.71,0.165
5374,0.573,0.654,0.055
7249,0.1939999999999999,0.982,0.000237
14546,0.1889999999999999,0.419,0.157
2275,0.5489999999999999,0.396,0.465
13951,0.377,0.589,0.0426
11473,0.414,0.2,0.303
16165,0.23399999999999987,0.5589999999999999,0.00757
10858,0.6890000000000001,0.3379999999999999,0.134
15721,0.391,0.239,0.7440000000000001
5953,0.847,0.564,0.17
17154,0.426,0.381,0.385
4746,0.26,0.6759999999999999,0.161
13251,0.37,0.292,0.746
10756,0.0353,0.957,0.00615
16671,0.456,0.585,0.166
17107,0.3379999999999999,0.396,0.148
17542,0.5529999999999999,0.845,0.0115
19913,0.84,0.5870000000000001,0.0113
16967,0.525,0.441,0.41
5598,0.123,0.282,0.317
17121,0.23399999999999987,0.281,0.873
12984,0.5529999999999999,0.698,0.00197
14447,0.5329999999999999,0.457,0.21
9544,0.67,0.347,0.1369999999999999
16546,0.7959999999999999,0.551,0.00364
5290,0.6759999999999999,0.3939999999999999,0.5660000000000001
12256,0.473,0.644,0.0104
20846,0.6940000000000001,0.782,0.172
5358,0.815,0.595,0.0673
20769,0.6629999999999999,0.366,0.367
14429,0.423,0.412,0.0165
20606,0.434,0.297,0.888
17187,0.525,0.502,0.0312
16298,0.515,0.299,0.153
20660,0.5539999999999999,0.7709999999999999,0.011
12866,0.5329999999999999,0.743,0.000643
7632,0.621,0.4429999999999999,0.188
18765,0.919,0.843,0.428
10148,0.291,0.541,0.188
16301,0.8340000000000001,0.585,0.192
16522,0.472,0.426,0.1169999999999999
3020,0.483,0.298,0.261
1304,0.39,0.606,0.6459999999999999
11411,0.03870000000000001,0.6679999999999999,0.00375
5635,0.588,0.4479999999999999,0.591
18029,0.496,0.437,0.144
15663,0.495,0.4,0.733
16489,0.473,0.496,0.181
2419,0.03420000000000001,0.282,0.176
17983,0.501,0.4379999999999999,0.29
5955,0.8,0.4579999999999999,0.659
20684,0.794,0.87,0.00432
18202,0.1369999999999999,0.267,0.8
14326,0.503,0.8809999999999999,0.128
16501,0.482,0.384,0.296
20605,0.503,0.332,0.784
3019,0.11499999999999999,0.254,0.00542
19243,0.509,0.955,0.00782
4248,0.16800000000000004,0.647,0.0839
5794,0.7979999999999999,0.947,0.145
14121,0.584,0.488,0.2339999999999999
7118,0.3879999999999999,0.644,0.158
11644,0.95,0.741,0.0025399999999999
9172,0.436,0.341,0.481
20374,0.602,0.497,0.841
13746,0.59,0.895,0.0154
5053,0.352,0.7,0.0152
5167,0.0519,0.445,0.0179
16340,0.752,0.371,0.0484
2185,0.595,0.523,0.118
19665,0.525,0.312,0.325
8624,0.457,0.601,0.0522
3586,0.389,0.904,0.3929999999999999
15668,0.636,0.69,0.5379999999999999
18500,0.915,0.64,0.0281
20102,0.7609999999999999,0.472,0.195
20164,0.22599999999999998,0.22699999999999987,0.787
20404,0.514,0.46,0.14
6048,0.623,0.696,0.0195
13836,0.22799999999999998,0.562,0.175
12894,0.3829999999999999,0.71,0.216
3446,0.08850000000000002,0.465,0.00831
5850,0.502,0.46,0.0279
20603,0.736,0.519,0.0479
11595,0.5529999999999999,0.907,0.00626
15503,0.476,0.424,0.603
8105,0.6579999999999999,0.664,0.0818
10173,0.546,0.384,0.382
18612,0.626,0.757,0.00647
8456,0.517,0.4589999999999999,0.163
12879,0.1889999999999999,0.953,0.000301
18898,0.493,0.718,0.0127
8335,0.963,0.648,0.6759999999999999
16894,0.3879999999999999,0.446,0.255
11507,0.262,0.711,0.342
738,0.416,0.268,0.284
19452,0.772,0.7759999999999999,0.138
1222,0.316,0.534,0.569
19434,0.312,0.26,0.6459999999999999
15827,0.642,0.4029999999999999,0.00877
17329,0.804,0.6759999999999999,0.324
21412,0.457,0.8759999999999999,0.0731
9352,0.565,0.451,0.193
12112,0.21299999999999997,0.963,0.0159
2525,0.03949999999999998,0.816,0.000354
13501,0.0927,0.239,0.8640000000000001
9671,0.7559999999999999,0.7070000000000001,0.067
20464,0.317,0.823,0.281
6639,0.7959999999999999,0.5870000000000001,0.0363
11401,0.6779999999999999,0.495,0.0087
20836,0.5529999999999999,0.779,0.161
4588,0.841,0.67,0.313
13355,0.384,0.252,0.904
16232,0.649,0.5,0.0227
13056,0.7340000000000001,0.909,0.0029
10077,0.894,0.727,0.555
14519,0.609,0.421,0.695
3764,0.173,0.494,0.622
15688,0.401,0.441,0.562
16251,0.4479999999999999,0.4039999999999999,0.377
9537,0.187,0.245,0.616
8466,0.509,0.477,0.5379999999999999
14136,0.389,0.662,0.0852
15053,0.57,0.622,0.176
12690,0.648,0.432,0.183
16010,0.96,0.768,0.00733
1584,0.55,0.419,0.0529
7859,0.59,0.4379999999999999,0.537
20517,0.523,0.46,0.8640000000000001
21089,0.44,0.37,0.02
11454,0.188,0.17000000000000004,0.833
1277,0.53,0.424,0.216
11127,0.452,0.812,0.26
7868,0.552,0.55,0.24
18212,0.387,0.28,0.932
18974,0.66,0.482,0.136
19305,0.07219999999999999,0.5770000000000001,0.0441
5699,0.5710000000000001,0.877,0.1009999999999999
8829,0.297,0.568,0.0538
2062,0.23399999999999987,0.3989999999999999,0.309
12102,0.283,0.996,0.262
5695,0.26,0.482,0.115
6880,0.773,0.887,0.138
138,0.15900000000000003,0.493,0.14
4399,0.14,0.929,0.035
7217,0.652,0.38,0.379
9717,0.617,0.428,0.198
8228,0.612,0.596,0.192
9765,0.5489999999999999,0.6409999999999999,0.2689999999999999
6488,0.75,0.45,0.187
16506,0.7559999999999999,0.5479999999999999,0.273
8171,0.7120000000000001,0.674,0.239
12569,0.521,0.88,0.0165
11506,0.478,0.875,0.0978
17359,0.585,0.905,0.127
2277,0.39,0.73,0.178
7492,0.0388,0.3329999999999999,0.0219
14070,0.131,0.309,0.8740000000000001
12376,0.09999999999999998,0.763,0.158
1807,0.589,0.589,0.0681
4497,0.14600000000000002,0.691,0.0457
1002,0.356,0.828,0.525
653,0.32,0.507,0.151
18194,0.354,0.272,0.875
14513,0.325,0.461,0.000832
2929,0.2,0.688,0.00225
20223,0.406,0.291,0.873
15931,0.774,0.406,0.72
3972,0.24,0.757,0.0623
17897,0.317,0.335,0.7659999999999999
17677,0.732,0.807,0.0382
20587,0.581,0.344,0.774
6445,0.5479999999999999,0.722,0.00235
1394,0.432,0.314,0.344
16636,0.3989999999999999,0.33,0.64
15230,0.235,0.523,0.6659999999999999
1759,0.604,0.921,0.0101
12453,0.20399999999999996,0.7959999999999999,0.12
3684,0.07600000000000001,0.326,0.851
576,0.619,0.5479999999999999,0.0195
18372,0.6609999999999999,0.524,0.414
18979,0.236,0.7879999999999999,0.0149
18869,0.757,0.442,0.151
19309,0.37,0.57,0.135
6819,0.487,0.419,0.356
3155,0.10799999999999998,0.631,0.0348
18588,0.591,0.7509999999999999,0.1159999999999999
9410,0.524,0.372,0.105
3978,0.35,0.915,0.012
9685,0.51,0.39,0.39
19938,0.4479999999999999,0.4029999999999999,0.1169999999999999
20009,0.264,0.584,0.364
17695,0.925,0.847,0.0628
10236,0.16000000000000003,0.296,0.0591
696,0.632,0.537,0.595
17393,0.555,0.479,0.0562
17507,0.405,0.313,0.5820000000000001
9748,0.534,0.491,0.7929999999999999
13062,0.564,0.28,0.918
16653,0.451,0.263,0.8240000000000001
12158,0.693,0.42,0.8059999999999999
4787,0.486,0.298,0.0566
11298,0.43,0.541,0.125
19793,0.606,0.434,0.258
19403,0.348,0.3979999999999999,0.0681
9277,0.59,0.4029999999999999,0.099
11436,0.060699999999999976,0.58,0.0128
7554,0.11299999999999999,0.59,0.00458
14187,0.606,0.516,0.148
8434,0.619,0.386,0.245
2972,0.14900000000000002,0.359,0.00543
12502,0.882,0.928,0.000715
3531,0.045499999999999985,0.7929999999999999,0.0254
9318,0.315,0.437,0.0093099999999999
18203,0.695,0.83,0.0313
12893,0.059,0.735,0.00922
8910,0.16399999999999992,0.96,0.0878
11176,0.492,0.972,1.86e-05
7744,0.118,0.3389999999999999,0.00582
16276,0.45,0.428,0.0559999999999999
20970,0.728,0.5770000000000001,0.0221
17920,0.21899999999999986,0.2,0.634
4396,0.04849999999999999,0.878,0.179
19206,0.893,0.8370000000000001,0.00084
21313,0.5770000000000001,0.3779999999999999,0.198
2426,0.05820000000000003,0.5539999999999999,0.00361
15138,0.133,0.4,0.000235
21509,0.735,0.474,0.1119999999999999
3748,0.372,0.51,0.5529999999999999
15846,0.195,0.623,0.00998
2685,0.48,0.7390000000000001,0.17
15376,0.4639999999999999,0.437,0.0438
13139,0.615,0.59,0.00224
17119,0.391,0.451,0.0592
2027,0.058599999999999985,0.43,0.317
14274,0.6459999999999999,0.415,0.0536
5796,0.7859999999999999,0.665,0.0196
17108,0.302,0.2769999999999999,0.0408
3157,0.03860000000000002,0.492,0.564
6664,0.78,0.467,0.26
16285,0.278,0.6659999999999999,0.262
9251,0.315,0.713,0.1969999999999999
11015,0.494,0.8540000000000001,5.39e-05
5243,0.534,0.78,0.0258
20169,0.466,0.287,0.6
10068,0.562,0.346,0.0355
17445,0.496,0.637,0.129
17551,0.8170000000000001,0.873,0.0244
18152,0.591,0.445,0.474
1078,0.265,0.555,0.00934
7854,0.348,0.506,0.201
13134,0.5379999999999999,0.969,0.0014
2360,0.965,0.6659999999999999,0.292
18543,0.5479999999999999,0.887,0.0066099999999999
20262,0.386,0.8270000000000001,0.0143
9020,0.841,0.6,0.00124
21277,0.59,0.912,0.139
20289,0.15000000000000002,0.525,0.00524
18419,0.7609999999999999,0.481,0.2339999999999999
18744,0.502,0.857,0.0738
7135,0.7120000000000001,0.4539999999999999,0.413
12439,0.485,0.905,0.0509
4369,0.07740000000000002,0.348,0.121
20897,0.552,0.486,0.0837
2014,0.396,0.43,0.186
19947,0.6659999999999999,0.8320000000000001,0.2319999999999999
10653,0.469,0.599,0.0579999999999999
16982,0.21199999999999997,0.331,0.348
1836,0.705,0.825,0.0631
6842,0.552,0.633,0.0099099999999999
10671,0.34,0.911,0.187
3017,0.07330000000000003,0.294,0.0931
16911,0.602,0.433,0.3879999999999999
15639,0.11299999999999999,0.5670000000000001,0.221
17104,0.39,0.325,0.74
5337,0.22799999999999998,0.385,0.104
16864,0.531,0.4639999999999999,0.0236
13260,0.188,0.581,0.148
13550,0.336,0.7490000000000001,0.0151
11205,0.136,0.604,0.0646
20541,0.516,0.46,0.47
7064,0.643,0.451,0.354
7605,0.3,0.575,0.181
2214,0.11699999999999988,0.347,0.0277
7660,0.589,0.344,0.731
13111,0.268,0.978,0.000124
18136,0.501,0.496,0.5539999999999999
9118,0.679,0.514,0.000909
16848,0.526,0.344,0.456
20511,0.555,0.635,0.45
11459,0.288,0.708,0.00345
19269,0.441,0.924,0.281
5948,0.8190000000000001,0.37,0.0021899999999999
20526,0.642,0.456,0.1369999999999999
14737,0.591,0.536,0.0788
17906,0.784,0.406,0.134
21514,0.7290000000000001,0.604,0.0873
8221,0.742,0.385,0.787
5242,0.3989999999999999,0.428,0.235
17870,0.41,0.332,0.00859
9449,0.503,0.47,0.0427
12339,0.127,0.764,0.0683
19576,0.321,0.268,0.868
16344,0.762,0.462,0.0339
14609,0.483,0.402,0.188
10456,0.245,0.605,0.547
19615,0.527,0.15600000000000003,0.585
8666,0.5820000000000001,0.335,0.125
6916,0.524,0.583,0.308
10688,0.807,0.759,0.0365
17922,0.0937,0.11599999999999988,0.877
21059,0.511,0.487,0.188
17792,0.299,0.515,0.0267
392,0.435,0.594,0.0115
15875,0.348,0.429,0.134
16470,0.617,0.64,0.107
19719,0.635,0.23299999999999998,0.807
7818,0.7440000000000001,0.63,0.163
17752,0.382,0.5539999999999999,0.283
12049,0.877,0.637,0.176
4236,0.8009999999999999,0.866,0.17
452,0.7609999999999999,0.437,0.823
16658,0.426,0.363,0.853
11490,0.14700000000000002,0.687,0.331
12050,0.856,0.952,0.0597
18663,0.431,0.579,0.00207
20934,0.79,0.523,0.242
17749,0.722,0.7,0.0616
17036,0.5329999999999999,0.462,0.527
5508,0.503,0.495,0.0509
5892,0.622,0.345,0.231
1160,0.324,0.81,0.0439
17722,0.579,0.54,0.00398
21372,0.608,0.421,0.0129
12604,0.341,0.967,0.0147
17940,0.769,0.805,0.0589
12484,0.09739999999999999,0.908,0.0295
6316,0.782,0.309,0.0096099999999999
13807,0.644,0.585,0.077
11620,0.381,0.4,0.698
724,0.44,0.493,0.35
4906,0.326,0.733,0.156
425,0.3979999999999999,0.648,0.00476
4130,0.8009999999999999,0.757,0.000679
3197,0.4639999999999999,0.7759999999999999,0.0597
17130,0.21799999999999997,0.612,0.171
8710,0.5660000000000001,0.6659999999999999,0.0428
862,0.392,0.436,0.0721
3854,0.22999999999999998,0.22599999999999998,0.706
8678,0.591,0.375,0.5329999999999999
14004,0.569,0.537,0.37
6935,0.434,0.433,0.0063799999999999
6997,0.5479999999999999,0.906,0.124
7272,0.96,0.732,0.523
10215,0.4539999999999999,0.357,0.0075
19832,0.456,0.6829999999999999,0.547
9865,0.727,0.695,0.513
4970,0.21099999999999997,0.497,0.08
7880,0.3279999999999999,0.905,0.0023
20873,0.821,0.884,0.0937
16702,0.252,0.519,0.25
2226,0.486,0.418,0.504
1261,0.424,0.3989999999999999,0.7909999999999999
14155,0.544,0.496,0.259
9756,0.178,0.8140000000000001,1.7800000000000002e-05
1639,0.519,0.48,0.176
9140,0.291,0.31,0.123
13876,0.7759999999999999,0.867,0.0395
20869,0.495,0.614,0.015
16906,0.348,0.3989999999999999,0.308
14302,0.568,0.5770000000000001,0.331
15501,0.371,0.753,0.303
15608,0.565,0.361,0.104
16537,0.649,0.81,0.125
15411,0.478,0.557,0.507
14084,0.66,0.47,0.465
12881,0.361,0.743,0.2689999999999999
13281,0.316,0.285,0.9
11609,0.06440000000000001,0.265,0.0281
19881,0.591,0.565,0.0978
2309,0.13,0.418,0.0529
19633,0.462,0.0625,0.945
6798,0.368,0.4579999999999999,0.207
9473,0.909,0.6920000000000001,0.105
16306,0.933,0.6659999999999999,0.0759
15954,0.919,0.7070000000000001,0.0219
379,0.3339999999999999,0.865,0.1669999999999999
16933,0.419,0.605,0.1939999999999999
1251,0.0388,0.475,0.316
5526,0.649,0.546,0.408
10213,0.456,0.344,0.0714
17499,0.45,0.43,0.0786
19900,0.134,0.386,0.284
20804,0.7879999999999999,0.466,0.243
21517,0.7240000000000001,0.444,0.0544
6661,0.423,0.342,0.073
1436,0.288,0.288,0.675
476,0.653,0.785,0.0993
19585,0.564,0.3329999999999999,0.588
20596,0.16500000000000004,0.247,0.5539999999999999
10118,0.122,0.6829999999999999,0.0152
9949,0.273,0.575,0.106
2053,0.187,0.245,0.616
11315,0.4589999999999999,0.375,0.146
2875,0.51,0.418,0.289
8744,0.46,0.625,0.00317
19015,0.581,0.836,0.0405
8072,0.674,0.597,0.0293
21429,0.851,0.541,0.102
16754,0.354,0.173,0.899
3845,0.356,0.907,0.0124
17072,0.777,0.405,0.278
14206,0.664,0.539,0.0408
14502,0.357,0.862,0.0189
12021,0.574,0.621,0.188
21144,0.375,0.634,0.0409
10010,0.386,0.698,0.217
18613,0.922,0.578,0.0772
1763,0.196,0.949,0.0033399999999999
3665,0.06180000000000002,0.401,0.0253
5731,0.797,0.738,0.457
11917,0.935,0.742,0.0445
5218,0.5539999999999999,0.32,0.0075599999999999
8392,0.728,0.528,0.293
15106,0.591,0.752,0.0352
1352,0.05669999999999997,0.435,0.129
16017,0.887,0.89,0.0701
18644,0.723,0.7020000000000001,0.7140000000000001
312,0.039600000000000024,0.321,0.0559999999999999
17168,0.242,0.248,0.821
13346,0.355,0.119,0.922
14826,0.265,0.687,0.0164
7598,0.304,0.412,0.4429999999999999
366,0.11199999999999988,0.258,0.7979999999999999
13373,0.187,0.22599999999999998,0.8370000000000001
19824,0.578,0.361,0.177
17929,0.584,0.424,0.286
13572,0.367,0.955,0.000171
9591,0.705,0.6629999999999999,0.382
20131,0.421,0.6809999999999999,0.6829999999999999
8828,0.508,0.435,0.3929999999999999
0,0.389,0.8140000000000001,0.0598
16616,0.5720000000000001,0.347,0.1669999999999999
